ticker	path	path_candle	path_stra	Net Profit	Net Profit_per	Total Closed Trades	Percent Profitable	Profit Factor	Max Drawdown	Max Drawdown_per	Avg Trade	Avg Trade_per	Avg # Bars in Trades
A	d_price/pine_tree\A_d5_q0.205_id1742_pine.java	d_price/TRAVIEW_stra/A_candles.png	d_price/TRAVIEW_stra/A_stra.png	296.53 USD	0.03%	262	58.78%	2.583	68.15 USD	0.01%	1.13 USD	2.64%	14
AA	d_price/pine_tree\AA_d5_q0.144_id2072_pine.java	d_price/TRAVIEW_stra/AA_candles.png	d_price/TRAVIEW_stra/AA_stra.png	33.20 USD	0%	82	57.32%	2.138	11.93 USD	0%	0.40 USD	2.32%	4
AAGIY	d_price/pine_tree\AAGIY_d5_q0.245_id788_pine.java	d_price/TRAVIEW_stra/AAGIY_candles.png	d_price/TRAVIEW_stra/AAGIY_stra.png	57.41 USD	0.01%	89	65.17%	3.993	4.35 USD	0%	0.65 USD	2.06%	5
AAL	d_price/pine_tree\AAL_d5_q0.182_id2082_pine.java	d_price/TRAVIEW_stra/AAL_candles.png	d_price/TRAVIEW_stra/AAL_stra.png	32.72 USD	0%	42	66.67%	3.011	8.85 USD	0%	0.78 USD	4.62%	7
AAOI	d_price/pine_tree\AAOI_d5_q0.213_id1281_pine.java	d_price/TRAVIEW_stra/AAOI_candles.png	d_price/TRAVIEW_stra/AAOI_stra.png	36.24 USD	0%	78	71.79%	6.298	3.40 USD	0%	0.46 USD	4.8%	5
AAON	d_price/pine_tree\AAON_d5_q0.188_id1137_pine.java	d_price/TRAVIEW_stra/AAON_candles.png	d_price/TRAVIEW_stra/AAON_stra.png	51.43 USD	0.01%	67	53.73%	8.464	5.17 USD	0%	0.77 USD	1.95%	7
AAP	d_price/pine_tree\AAP_d5_q0.179_id1300_pine.java	d_price/TRAVIEW_stra/AAP_candles.png	d_price/TRAVIEW_stra/AAP_stra.png	112.40 USD	0.01%	54	70.37%	5.52	26.88 USD	0%	2.08 USD	2.17%	5
AAPL	d_price/pine_tree\AAPL_d5_q0.217_id1240_pine.java	d_price/TRAVIEW_stra/AAPL_candles.png	d_price/TRAVIEW_stra/AAPL_stra.png	336.51 USD	0.03%	428	45.56%	8.406	9.45 USD	0%	0.79 USD	2.05%	12
AAT	d_price/pine_tree\AAT_d5_q0.205_id1680_pine.java	d_price/TRAVIEW_stra/AAT_candles.png	d_price/TRAVIEW_stra/AAT_stra.png	8.37 USD	0%	15	66.67%	3.809	4.26 USD	0%	0.56 USD	1.33%	6
AB	d_price/pine_tree\AB_d5_q0.201_id722_pine.java	d_price/TRAVIEW_stra/AB_candles.png	d_price/TRAVIEW_stra/AB_stra.png	23.05 USD	0%	165	49.7%	1.185	62.31 USD	0.01%	0.14 USD	1.1%	9
