Date	Open	High	Low	Close	Volume
2015-01-02 05:00:00	127.9	128.31	124.56	125.85	207900
2015-01-05 05:00:00	124.86	125.81	122.76	124.3	335600
2015-01-06 05:00:00	124.93	126.34	121.36	122.08	233900
2015-01-07 05:00:00	123.31	124.29	121.31	121.84	227200
2015-01-08 05:00:00	123.11	125.64	122.55	123.66	370400
2015-01-09 05:00:00	124.07	124.36	121.28	122.29	156500
2015-01-12 05:00:00	122.58	122.85	120.01	120.28	300300
2015-01-13 05:00:00	121.92	123.23	118.28	119.98	326900
2015-01-14 05:00:00	118.37	120.14	116.72	118.53	468300
2015-01-15 05:00:00	119.23	119.25	116.86	116.89	402300
2015-01-16 05:00:00	117.74	120.7	117.07	119.32	396500
2015-01-20 05:00:00	119.98	123.2	117.98	122.48	474000
2015-01-21 05:00:00	121.77	125.82	121.77	123.1	384800
2015-01-22 05:00:00	124.3	125.74	122.22	125.66	253500
2015-01-23 05:00:00	125.69	128.76	125.03	127.29	357700
2015-01-26 05:00:00	127.69	128.47	127.07	127.51	353800
2015-01-27 05:00:00	127.0	128.3	124.66	128.07	386300
2015-01-28 05:00:00	129.14	129.14	125.44	126.25	409500
2015-01-29 05:00:00	125.86	127.92	124.24	127.66	357600
2015-01-30 05:00:00	126.86	128.66	123.59	123.94	443000
2015-02-02 05:00:00	124.05	126.61	123.24	125.54	280600
2015-02-03 05:00:00	125.77	129.26	124.32	129.09	389400
2015-02-04 05:00:00	128.71	129.61	127.11	127.77	326200
2015-02-05 05:00:00	128.01	129.78	128.01	129.57	251100
2015-02-06 05:00:00	128.84	129.67	125.53	126.11	286500
2015-02-09 05:00:00	125.9	126.91	123.72	125.59	266000
2015-02-10 05:00:00	125.8	129.36	125.51	128.35	315800
2015-02-11 05:00:00	127.83	129.59	126.94	127.84	248800
2015-02-12 05:00:00	129.09	132.22	127.9	131.94	450000
2015-02-13 05:00:00	131.32	132.21	128.41	129.99	572000
2015-02-17 05:00:00	129.4	131.85	128.45	131.85	364500
2015-02-18 05:00:00	131.89	133.79	130.89	132.61	388800
2015-02-19 05:00:00	132.63	133.02	128.42	130.5	616600
2015-02-20 05:00:00	129.99	131.5	128.67	130.92	550300
2015-02-23 05:00:00	130.43	132.32	130.43	131.56	382200
2015-02-24 05:00:00	131.28	132.56	130.22	132.49	491000
2015-02-25 05:00:00	132.6	135.99	131.34	134.22	1226400
2015-02-26 05:00:00	137.99	137.99	129.2	131.01	1019400
2015-02-27 05:00:00	130.55	135.05	129.78	130.97	1449500
2015-03-02 05:00:00	130.44	133.49	129.54	133.3	558600
2015-03-03 05:00:00	132.56	134.07	132.07	133.9	443400
2015-03-04 05:00:00	133.31	133.98	130.56	131.3	569100
2015-03-05 05:00:00	131.03	133.45	130.25	132.0	493500
2015-03-06 05:00:00	131.0	132.59	129.06	129.2	655300
2015-03-09 05:00:00	129.43	129.99	123.88	125.0	972000
2015-03-10 05:00:00	123.44	124.55	122.61	123.91	618900
2015-03-11 05:00:00	125.21	126.78	123.91	126.51	618400
2015-03-12 05:00:00	126.15	128.17	124.87	127.89	560400
2015-03-13 05:00:00	126.68	128.32	124.57	125.71	671100
2015-03-16 05:00:00	125.53	127.26	124.76	127.09	397400
2015-03-17 05:00:00	126.98	128.0	125.57	127.66	557900
2015-03-18 05:00:00	124.5	127.47	123.89	126.28	731400
2015-03-19 05:00:00	125.69	126.4	122.8	122.91	418400
2015-03-20 05:00:00	123.21	125.3	122.82	124.59	309600
2015-03-23 05:00:00	124.79	126.5	124.21	125.43	507500
2015-03-24 05:00:00	125.72	126.17	122.31	122.34	268600
2015-03-25 05:00:00	122.22	123.2	120.64	121.11	374000
2015-03-26 05:00:00	121.11	122.46	120.53	121.41	324100
2015-03-27 05:00:00	120.98	122.89	120.7	122.85	285000
2015-03-30 05:00:00	122.53	123.14	121.2	121.67	327400
2015-03-31 05:00:00	120.65	122.96	120.65	122.52	323700
2015-04-01 05:00:00	122.9	124.14	121.6	123.86	392400
2015-04-02 05:00:00	123.59	125.57	122.95	125.14	305200
2015-04-06 05:00:00	124.9	127.22	124.02	126.27	375300
2015-04-07 05:00:00	123.94	127.25	123.65	126.97	435600
2015-04-08 05:00:00	128.27	128.9	126.53	128.59	318500
2015-04-09 05:00:00	129.73	130.5	127.79	129.7	252500
2015-04-10 05:00:00	129.57	131.66	129.45	131.6	208400
2015-04-13 05:00:00	131.84	132.77	130.25	130.71	211000
2015-04-14 05:00:00	130.47	131.82	128.13	131.57	274600
2015-04-15 05:00:00	131.51	132.94	130.5	132.2	387100
2015-04-16 05:00:00	132.05	132.61	130.29	131.17	191000
2015-04-17 05:00:00	129.89	130.7	128.43	130.0	371300
2015-04-20 05:00:00	130.36	134.14	130.18	133.53	305700
2015-04-21 05:00:00	134.43	139.88	133.68	136.95	407300
2015-04-22 05:00:00	137.4	138.46	135.95	138.04	359100
2015-04-23 05:00:00	138.03	139.79	136.26	138.97	276900
2015-04-24 05:00:00	139.11	139.96	137.16	137.48	316300
2015-04-27 05:00:00	138.4	139.35	136.2	136.85	304000
2015-04-28 05:00:00	141.4	142.18	139.2	140.24	734800
2015-04-29 05:00:00	139.79	143.37	139.54	142.98	460000
2015-04-30 05:00:00	142.61	145.86	142.25	142.33	628100
2015-05-01 05:00:00	142.0	145.44	141.99	145.35	286600
2015-05-04 05:00:00	146.0	153.42	145.54	152.27	896200
2015-05-05 05:00:00	151.98	153.32	148.1	149.19	581000
2015-05-06 05:00:00	149.17	150.46	146.93	148.51	771800
2015-05-07 05:00:00	150.05	151.85	140.65	145.1	982700
2015-05-08 05:00:00	145.89	146.97	144.19	146.63	475100
2015-05-11 05:00:00	145.94	146.88	144.7	146.18	327600
2015-05-12 05:00:00	142.31	146.21	142.31	145.67	421000
2015-05-13 05:00:00	146.69	146.69	143.43	144.66	264700
2015-05-14 05:00:00	144.81	147.21	144.12	146.79	282600
2015-05-15 05:00:00	147.11	147.73	145.7	146.46	170300
2015-05-18 05:00:00	146.04	148.36	145.39	147.82	218000
2015-05-19 05:00:00	148.3	149.25	145.51	145.58	404600
2015-05-20 05:00:00	145.58	147.48	144.08	147.1	310500
2015-05-21 05:00:00	147.47	149.82	146.93	149.01	255900
2015-05-22 05:00:00	149.28	149.73	146.81	147.48	288000
2015-05-26 05:00:00	147.5	147.5	144.69	145.74	272200
2015-05-27 05:00:00	145.32	146.57	143.74	146.43	436500
2015-05-28 05:00:00	146.45	147.29	143.67	146.5	217900
2015-05-29 05:00:00	146.8	147.1	144.65	145.13	237600
2015-06-01 05:00:00	146.12	147.02	142.72	143.68	370900
