Perc	Total	Bad	Good	id_count	Perc_pos	Total_pos	Bad_pos	Good_pos	n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	max_leaf_nodes	bootstrap	criterion	Perc_eval
0.425	727	418	309	1213	0.148	453	386	67	1	0.65	5	6	13	32	False	friedman_mse	0.24033333333333332
0.424	727	419	308	2149	0.143	453	388	65	1	0.7	5	10	9	32	False	friedman_mse	0.23666666666666666
0.417	727	424	303	1235	0.141	453	389	64	1	0.65	5	10	5	122	False	squared_error	0.23299999999999998
0.417	727	424	303	272	0.13	453	394	59	1	0.6	5	6	1	122	False	squared_error	0.22566666666666668
0.413	727	427	300	1337	0.13	453	394	59	1	0.65	5	22	9	28	False	squared_error	0.22433333333333336
0.417	727	424	303	1792	0.128	453	395	58	1	0.675	5	22	13	122	False	friedman_mse	0.22433333333333336
0.407	727	431	296	872	0.124	453	397	56	1	0.625	5	22	2	32	False	squared_error	0.21833333333333335
0.395	727	440	287	225	0.128	453	395	58	1	0.6	5	2	1	122	False	poisson	0.217
0.407	727	431	296	711	0.121	453	398	55	1	0.625	5	2	13	122	False	poisson	0.21633333333333335
0.398	727	438	289	308	0.124	453	397	56	1	0.6	5	6	13	122	False	squared_error	0.21533333333333335
0.409	727	430	297	1250	0.117	453	400	53	1	0.65	5	10	9	32	False	squared_error	0.21433333333333335
0.413	727	427	300	734	0.115	453	401	52	1	0.625	5	6	2	28	False	squared_error	0.21433333333333335
0.413	727	427	300	1600	0.115	453	401	52	1	0.675	5	2	5	32	False	friedman_mse	0.21433333333333335
0.411	727	428	299	2168	0.115	453	401	52	1	0.7	5	16	1	32	False	squared_error	0.21366666666666667
0.411	727	428	299	1304	0.115	453	401	52	1	0.65	5	16	13	32	False	squared_error	0.21366666666666667
0.41	727	429	298	824	0.115	453	401	52	1	0.625	5	16	2	28	False	squared_error	0.21333333333333335
0.407	727	431	296	2155	0.115	453	401	52	1	0.7	5	10	13	28	False	friedman_mse	0.21233333333333335
0.406	727	432	295	1699	0.115	453	401	52	1	0.675	5	10	9	32	False	friedman_mse	0.212
0.409	727	430	297	1294	0.113	453	402	51	1	0.65	5	16	9	32	False	friedman_mse	0.21166666666666667
0.399	727	437	290	2036	0.117	453	400	53	1	0.7	5	2	2	122	False	squared_error	0.211
