Perc	Total	Bad	Good	id_count	Perc_pos	Total_pos	Bad_pos	Good_pos	n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	max_leaf_nodes	bootstrap	criterion	Perc_eval
0.338	727	481	246	323	0.192	556	449	107	1	0.6	5	10	1	32	False	squared_error	0.24066666666666667
0.334	727	484	243	766	0.178	556	457	99	1	0.625	5	10	1	122	False	friedman_mse	0.22999999999999998
0.327	727	489	238	1759	0.169	556	462	94	1	0.675	5	22	1	28	False	friedman_mse	0.22166666666666668
0.316	727	497	230	1136	0.173	556	460	96	1	0.65	5	2	2	122	False	squared_error	0.22066666666666665
0.327	727	489	238	2209	0.167	556	463	93	1	0.7	5	22	1	28	False	friedman_mse	0.22033333333333335
0.318	727	496	231	1132	0.169	556	462	94	1	0.65	5	2	1	32	False	friedman_mse	0.21866666666666668
0.326	727	490	237	1180	0.165	556	464	92	1	0.65	5	6	2	122	False	friedman_mse	0.21866666666666668
0.325	727	491	236	1181	0.165	556	464	92	1	0.65	5	6	2	122	False	squared_error	0.21833333333333335
0.326	727	490	237	1148	0.164	556	465	91	1	0.65	5	2	5	28	False	squared_error	0.218
0.325	727	491	236	1150	0.164	556	465	91	1	0.65	5	2	5	32	False	friedman_mse	0.21766666666666667
0.322	727	493	234	1262	0.164	556	465	91	1	0.65	5	16	1	122	False	squared_error	0.21666666666666667
0.322	727	493	234	1234	0.164	556	465	91	1	0.65	5	10	5	122	False	friedman_mse	0.21666666666666667
0.319	727	495	232	319	0.164	556	465	91	1	0.6	5	10	1	28	False	friedman_mse	0.21566666666666667
0.322	727	493	234	2029	0.162	556	466	90	1	0.7	5	2	1	28	False	friedman_mse	0.21533333333333335
0.32	727	494	233	1669	0.162	556	466	90	1	0.675	5	10	1	28	False	friedman_mse	0.21466666666666667
0.319	727	495	232	1175	0.162	556	466	90	1	0.65	5	6	1	28	False	squared_error	0.21433333333333335
0.314	727	499	228	2152	0.164	556	465	91	1	0.7	5	10	13	122	False	friedman_mse	0.214
0.318	727	496	231	2030	0.162	556	466	90	1	0.7	5	2	1	28	False	squared_error	0.214
0.325	727	491	236	1173	0.158	556	468	88	1	0.65	5	6	1	28	False	poisson	0.21366666666666667
0.32	727	494	233	2125	0.16	556	467	89	1	0.7	5	10	2	122	False	friedman_mse	0.21333333333333335
