Date	Open	High	Low	Close	Volume
2015-01-02 05:00:00	27.85	27.86	26.84	27.33	212818400
2015-01-05 05:00:00	27.07	27.16	26.35	26.56	257142000
2015-01-06 05:00:00	26.64	26.86	26.16	26.57	263188400
2015-01-07 05:00:00	26.8	27.05	26.67	26.94	160423600
2015-01-08 05:00:00	27.31	28.04	27.17	27.97	237458000
2015-01-09 05:00:00	28.17	28.31	27.55	28.0	214798000
2015-01-12 05:00:00	28.15	28.16	27.2	27.31	198603200
2015-01-13 05:00:00	27.86	28.2	27.23	27.56	268367600
2015-01-14 05:00:00	27.26	27.62	27.12	27.45	195826400
2015-01-15 05:00:00	27.5	27.51	26.67	26.7	240056000
2015-01-16 05:00:00	26.76	26.9	26.3	26.5	314053200
2015-01-20 05:00:00	26.96	27.24	26.62	27.18	199599600
2015-01-21 05:00:00	27.24	27.76	27.07	27.39	194303600
2015-01-22 05:00:00	27.57	28.12	27.43	28.1	215185600
2015-01-23 05:00:00	28.08	28.44	27.88	28.25	185859200
2015-01-26 05:00:00	28.43	28.59	28.2	28.27	222460000
2015-01-27 05:00:00	28.1	28.12	27.26	27.28	382274800
2015-01-28 05:00:00	29.41	29.53	28.83	28.83	585908400
2015-01-29 05:00:00	29.08	29.8	28.89	29.73	337745600
2015-01-30 05:00:00	29.6	30.0	29.21	29.29	334982000
2015-02-02 05:00:00	29.51	29.79	29.02	29.66	250956400
2015-02-03 05:00:00	29.62	29.77	29.4	29.66	207662800
2015-02-04 05:00:00	29.62	30.13	29.58	29.89	280598800
2015-02-05 05:00:00	30.0	30.06	29.81	29.99	168984800
2015-02-06 05:00:00	30.0	30.06	29.61	29.73	174826400
2015-02-09 05:00:00	29.64	29.96	29.61	29.93	155559200
2015-02-10 05:00:00	30.04	30.54	30.04	30.5	248034000
2015-02-11 05:00:00	30.69	31.23	30.62	31.22	294247200
2015-02-12 05:00:00	31.51	31.87	31.39	31.61	297898000
2015-02-13 05:00:00	31.82	31.82	31.41	31.77	217088800
2015-02-17 05:00:00	31.87	32.22	31.73	31.96	252609600
2015-02-18 05:00:00	31.91	32.19	31.86	32.18	179566800
2015-02-19 05:00:00	32.12	32.26	32.08	32.11	149449600
2015-02-20 05:00:00	32.15	32.38	32.01	32.38	195793600
2015-02-23 05:00:00	32.51	33.25	32.42	33.25	283896400
