	id	ticker	enter	sl	tp	close	pre_score	Date_start	Date_end	type_open_close 	time_take	dolars_earn	earn	comment	name	sl1	tp1	tp2	tp3	current_date
0	AAPL_20240304	AAPL	176.15	168.692	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_04	x	512.285	196.493	405.266	685.97	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.595	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_04	x	512.212	196.465	405.209	685.873	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.836	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_04	x	512.394	196.535	405.353	686.117	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.798	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_04	x	512.365	196.524	405.33	686.078	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.865	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_04	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.586	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_04	x	512.205	196.462	405.203	685.863	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_05	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_05	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_05	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240305	AAPL	170.76	163.963	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_05	x	498.101	191.052	394.046	666.978	2024-03-05
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_05	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_05	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_06	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_06	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.818	1710.6	0	1.692	2024-03-06		open	-	0	0.0	start 2024_03_06	x	497.108	190.672	393.26	665.648	2024-03-06
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_06	x	512.416	196.543	405.37	686.146	2024-03-04
