	id	ticker	enter	sl	tp	close	per_score	Date_start	Date_end	type_open_close 	time_take	dolars_earn	earn	comment	name	sl1	tp1	tp2	tp3	current_date
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240305	AAPL	170.76	163.201	1710.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-06
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.846	2024-03-07		open	-	0	0.0	start 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240305	AAPL	170.76	163.085	1691.5	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-07
0	AAPL_20240306	AAPL	171.06	163.085	1691.5	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-07
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.846	2024-03-07		open	-	0	0.0	start 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240305	AAPL	170.76	163.201	1710.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-06
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.846	2024-03-07		open	-	0	0.0	start 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240305	AAPL	170.76	163.085	1691.5	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-07
0	AAPL_20240306	AAPL	171.06	163.085	1691.5	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-07
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.846	2024-03-07		open	-	0	0.0	start 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240305	AAPL	2024-03-05	2024-03-08	3 days	-0.073	-0.125	170.76	170.635	170.635	667.183	1.846	end touch sl: 170.635 2024_03_11	x	close	498.254	191.111	394.167	667.183	2024-03-08
0	AAPL_20240305	AAPL	170.76	170.635	667.183	170.635	1.846	2024-03-05	2024-03-08	close	3 days	-0.073	-0.125	end touch sl: 170.635 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-08
0	AAPL_20240306	AAPL	2024-03-06	2024-03-08	2 days	-0.605	-1.035	171.06	170.025	170.025	664.798	1.846	end touch sl: 170.025 2024_03_11	x	close	496.473	190.428	392.758	664.798	2024-03-08
0	AAPL_20240306	AAPL	171.06	170.025	664.798	170.025	1.846	2024-03-06	2024-03-08	close	2 days	-0.605	-1.035	end touch sl: 170.025 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-08
0	AAPL_20240307	AAPL	2024-03-07	2024-03-08	1 days	0.114	0.192	169.15	169.342	169.342	662.129	1.846	end touch sl: 169.3425 2024_03_11	x	close	494.48	189.664	391.181	662.129	2024-03-08
0	AAPL_20240307	AAPL	169.15	169.342	662.129	169.342	1.846	2024-03-07	2024-03-08	close	1 days	0.114	0.192	end touch sl: 169.3425 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-08
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240305	AAPL	170.76	163.201	1710.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-06
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.846	2024-03-07		open	-	0	0.0	start 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240305	AAPL	170.76	163.085	1691.5	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-07
0	AAPL_20240306	AAPL	171.06	163.085	1691.5	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-07
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.846	2024-03-07		open	-	0	0.0	start 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240305	AAPL	2024-03-05	2024-03-08	3 days	-0.073	-0.125	170.76	170.635	170.635	667.183	1.846	end touch sl: 170.635 2024_03_11	x	close	498.254	191.111	394.167	667.183	2024-03-08
0	AAPL_20240305	AAPL	170.76	170.635	667.183	170.635	1.846	2024-03-05	2024-03-08	close	3 days	-0.073	-0.125	end touch sl: 170.635 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-08
0	AAPL_20240306	AAPL	2024-03-06	2024-03-08	2 days	-0.605	-1.035	171.06	170.025	170.025	664.798	1.846	end touch sl: 170.025 2024_03_11	x	close	496.473	190.428	392.758	664.798	2024-03-08
0	AAPL_20240306	AAPL	171.06	170.025	664.798	170.025	1.846	2024-03-06	2024-03-08	close	2 days	-0.605	-1.035	end touch sl: 170.025 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-08
0	AAPL_20240307	AAPL	2024-03-07	2024-03-08	1 days	0.114	0.192	169.15	169.342	169.342	662.129	1.846	end touch sl: 169.3425 2024_03_11	x	close	494.48	189.664	391.181	662.129	2024-03-08
0	AAPL_20240307	AAPL	169.15	169.342	662.129	169.342	1.846	2024-03-07	2024-03-08	close	1 days	0.114	0.192	end touch sl: 169.3425 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-08
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.846	2024-03-05		open	-	0	0.0	start 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.846	2024-03-06		open	-	0	0.0	start 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.846	2024-03-07		open	-	0	0.0	start 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240305	AAPL	2024-03-05	2024-03-08	3 days	-0.073	-0.125	170.76	170.635	170.635	667.183	1.846	end touch sl: 170.635 2024_03_11	x	close	498.254	191.111	394.167	667.183	2024-03-08
0	AAPL_20240305	AAPL	170.76	170.635	667.183	170.635	1.846	2024-03-05	2024-03-08	close	3 days	-0.073	-0.125	end touch sl: 170.635 2024_03_11	x	498.254	191.111	394.167	667.183	2024-03-08
0	AAPL_20240306	AAPL	2024-03-06	2024-03-08	2 days	-0.605	-1.035	171.06	170.025	170.025	664.798	1.846	end touch sl: 170.025 2024_03_11	x	close	496.473	190.428	392.758	664.798	2024-03-08
0	AAPL_20240306	AAPL	171.06	170.025	664.798	170.025	1.846	2024-03-06	2024-03-08	close	2 days	-0.605	-1.035	end touch sl: 170.025 2024_03_11	x	496.473	190.428	392.758	664.798	2024-03-08
0	AAPL_20240307	AAPL	2024-03-07	2024-03-08	1 days	0.114	0.192	169.15	169.342	169.342	662.129	1.846	end touch sl: 169.3425 2024_03_11	x	close	494.48	189.664	391.181	662.129	2024-03-08
0	AAPL_20240307	AAPL	169.15	169.342	662.129	169.342	1.846	2024-03-07	2024-03-08	close	1 days	0.114	0.192	end touch sl: 169.3425 2024_03_11	x	494.48	189.664	391.181	662.129	2024-03-08
